__v,_id,Website,lat,lng,name,weekday_text,formatted_address
0,,https://broadwaymarket.co.uk/,“51.5159813”,“-0.06626449999999998”,Broadway Market,,"Whitechapel London E1 1AG, UK"
,,,“51.521533”,"“-0.0828522""",Finsbury Market,,"Finsbury Market, London EC2A 2EZ, UK"
,,,“51.5165049”,“-0.0760237”,Wentworth Street Market,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: 8:00 AM – 6:00 PM","Vernasa Cafe, 9 Wentworth St, Spitalfields, London E1 7TB, UK"
,,http://www.boroughmarket.org.uk/,"""51.50545040000001""","“-0.090963""",Borough Market,"Monday: 10:00 AM – 5:00 PM
Tuesday: 10:00 AM – 5:00 PM
Wednesday: 10:00 AM – 5:00 PM
Thursday: 10:00 AM – 5:00 PM
Friday: 10:00 AM – 6:00 PM
Saturday: 8:00 AM – 5:00 PM
Sunday: Closed","8 Southwark St, London SE1 1TL, UK"